GeneSymbol	OR	p-value	m.value	CustomedDEG	meth.diff
FOXK2	2.487118887055061	2.741587303792887e-305	0.00249445291217754	None	17.1782951238141
FOXL1	2.4062121791592634	0.0	-3.1761018343871	None	7.46767543470102
FOXN3	2.797283338498089	2.9583582583472e-82	-0.0184977852040564	None	24.405337620847998
FOXO6	2.4393507995653265	0.0	-0.0328610377149876	None	10.183776318658301
FOXP1	2.374342015817129	0.0	0.0893132605434488	None	21.9431810691451
FOXP2	2.52625191961432	0.0	0.237572922896392	None	-21.4215773542867
GABPA	3.5231383030993886	2.6602722490510375e-132	0.460383110245417	None	11.372817681110499
GATA2	2.3885980679253067	1.014451692771428e-289	-1.86175621519113	None	24.668393303102107
GATA4	2.6893234399234904	2.827211065520499e-207	-0.849480865736296	None	-13.257881889430099
GATA5	2.560128536034087	0.0	-2.35133031148969	None	14.068657453599501
GATA6	2.3401100048736336	4.585806225756165e-159	-2.10516353286461	None	-7.45746552344662
GBX1	2.290336804246285	0.0	1.12855599163025	None	8.60394760257808
GBX2	2.230722993790397	0.0	1.12855599163025	None	8.33729525002082
GCM1	4.452817033600602	2.6772264171881268e-183	-0.397074665273534	None	7.2276726375087
GCM2	4.368516698697313	2.060630476062344e-249	-2.7347981969576	None	4.7938421578142
GFI1	2.5454576117170187	6.967764911522382e-161	0.147748928174988	None	13.2430191883841
GLI3	4.8818372403278065	7.169779083810615e-14	-0.308047593561148	None	12.8951411299486
GLIS1	58.5	1.405730819896839e-08	0.382236527195352	None	15.7572766613571
GLIS2	14.109257916364514	7.744211287150134e-101	0.425511946958344	None	6.6517953226400985
GLIS3	7.339747113798791	9.61544792940144e-14	0.345431100942892	None	-16.6001628588502
GMEB2	3.0598813822916937	1.9663557647928058e-101	-0.305474667125292	None	-7.48391948506755
GRHL1	2.5517217755416346	7.875454499246439e-44	-1.3311174778163	None	9.240027080854679
GRHL2	2.5833011927719447	1.1079590264784603e-84	-0.42344216601765	None	10.727868587145
GSC	2.324264974662737	5.3676370557e-314	1.13539682500795	None	11.3769415953652
GSC2	2.4274884391523166	0.0	0.638049744360103	None	-5.86795780699663
GSX1	2.3296381693814	0.0	-1.08407908611321	None	15.187508569778199
GSX2	2.3881524881801344	0.0	2.02438149120541	None	10.4313298190835
HAND2	2.8567315658413035	0.0	-2.23724286662998	None	17.637700333260398
HES1	6.818146271271273	0.0	0.950713851797839	None	7.1603938085917305
HES2	8.320734835990471	4.921432531485207e-129	-3.70085950888536	CR	14.0315786283601
HES5	6.170825860138205	8.021138421388266e-160	-1.82891003633728	None	15.017353717741196
